id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo
178;Samsung Curvo IK-7105;Monitores;Curvo;Samsung;659.99;385.03
179;Apple Gama Baja CP-8770;CELULARES;Gama Baja;Apple;2805.77;2044.59
180;HP Mini PC UF-4599;  Computadoras  ;Mini PC;HP;4742.2;3621.93
181;Logitech Parlantes RU-5304;Audio;Parlantes;Logitech;113.4;74.86
182;Sony Barras de Sonido IX-0020;audio;Barras de Sonido;Sony;1468.84;1157.38
183;Samsung Profesional FJ-6838;Monitores;Profesional;Samsung;2347.79;1814.15
184;Brother Impresoras Tinta OW-9034;Impresion;Impresoras Tinta;Brother;1302.67;801.55
185;Dell Desktop GZ-0295;Computadoras;Desktop;Dell;3542.3;2588.4
186;Xiaomi Focos Inteligentes PX-7603;Hogar Inteligente;Focos Inteligentes;Xiaomi;1042.47;626.59
187;Nintendo Sillas Gamer XU-0409;Gaming;Sillas Gamer;Nintendo;973.94;702.08
188;JBL Audifonos RW-3467;  Audio  ;Audifonos;JBL;445.02;270.84
189;HP Empresarial PY-4182;Laptops;Empresarial;HP;1828.51;1398.1
190;Dell Empresarial CE-6881;LAPTOPS;Empresarial;Dell;2076.82;1266.26
191;Xtech Protectores de Pantalla LE-3827;  ACCESORIOS  ;Protectores de Pantalla;Xtech;143.18;85.61
192;Nintendo Volantes PR-0513;Gaming;Volantes;Nintendo;1059.35;670.93
193;Netgear Repetidores TK-6018;Redes;Repetidores;Netgear;271.39;210.11
194;Razer Teclados IQ-2013;Perifericos;Teclados;Razer;448.75;276.51
195;Canon Toners LC-8253;  Impresion  ;Toners;Canon;1517.32;893.52
196;Samsung Gama Media HH-8316;Celulares;Gama Media;Samsung;3022.23;2251.29
197;Targus Cables PI-6360;Accesorios;Cables;Targus;270.45;182.97
198;Huawei Gama Baja VY-9173;CELULARES;Gama Baja;Huawei;4168.06;3315.94
199;Kingston Memorias RAM LT-9078;componentes;Memorias RAM;Kingston;978.28;563.33
200;Samsung Gama Media LC-4767;CELULARES;Gama Media;Samsung;3588.88;2823.38
201;Xiaomi Gama Alta FQ-0052;Celulares;Gama Alta;Xiaomi;2110.19;1414.45
202;Targus Protectores de Pantalla DH-1070;Accesorios;Protectores de Pantalla;Targus;176.34;106.83
203;HP Desktop XY-6348;Computadoras;Desktop;HP;3393.67;2545.83
204;Motorola Gama Baja GL-0895;CELULARES;Gama Baja;Motorola;3270.13;2291.55
205;NVIDIA Placas Madre XF-3708;;Placas Madre;NVIDIA;1120.11;874.17
206;Logitech Combos QZ-1919;;Combos;Logitech;594.14;421.25
207;Google Enchufes Inteligentes AM-4545;Hogar Inteligente;Enchufes Inteligentes;Google;580.19;380.75
208;Samsung iPadOS WV-7296;;iPadOS;Samsung;1829.54;1132.38
209;Amazon Enchufes Inteligentes DB-6192;  Hogar Inteligente  ;Enchufes Inteligentes;Amazon;1052.69;662.32
210;Huawei Gama Baja CU-7137;  celulares  ;Gama Baja;Huawei;979.79;753.71
211;Lenovo Android WJ-1886;TABLETS;Android;Lenovo;2546.89;1974.08
212;LG Estandar ZG-6395;monitores;Estandar;LG;2920.6;1920.5
213;Nintendo Volantes IO-2667;Gaming;Volantes;Nintendo;1378.88;893.78
214;TP-Link Asistentes de Voz ND-0557;  hogar inteligente  ;Asistentes de Voz;TP-Link;758.08;486.57
215;Xiaomi Gama Baja EV-1388;;Gama Baja;Xiaomi;622.69;452.47
216;Lenovo iPadOS NR-4022;Tablets;iPadOS;Lenovo;3392.26;2174.33
217;Lenovo iPadOS TY-4614;;iPadOS;Lenovo;3249.22;2184.67
218;Anker Soportes BN-6627;Accesorios;Soportes;Anker;242.2;147.78
219;Redragon Mouse EZ-3041;PERIFERICOS;Mouse;Redragon;43.04;27.03
220;Motorola Gama Baja LO-7614;Celulares;Gama Baja;Motorola;4063.45;2373.09
221;Apple Gama Baja GO-1524;CELULARES;Gama Baja;Apple;2255.33;1242.29
222;Asus Convertible VA-1968;Laptops;Convertible;Asus;3522.32;2133.08
223;Lenovo Ultrabook BQ-3647;Laptops;Ultrabook;Lenovo;2502.05;1898.77
224;Microsoft Volantes KY-6568;  Gaming  ;Volantes;Microsoft;1529.73;1188.93
225;Acer Empresarial NY-9870;  laptops  ;Empresarial;Acer;3742.08;2828.44
226;Bose Barras de Sonido BR-8830;AUDIO;Barras de Sonido;Bose;1473.45;1158.32
227;Asus All in One PO-8379;Computadoras;All in One;Asus;5865.54;4612.57
228;Apple iPadOS KL-6315;tablets;iPadOS;Apple;3941.79;2203.31
229;Logitech Barras de Sonido ED-2912;  Audio  ;Barras de Sonido;Logitech;435.91;253.86
230;Logitech Mouse RE-6593;Perifericos;Mouse;Logitech;272.83;195.54
231;HyperX Webcams VR-0406;Perifericos;Webcams;HyperX;338.37;201.48
232;Razer Teclados IC-2911;Perifericos;Teclados;Razer;670.22;469.15
233;Bose Barras de Sonido RE-2282;  AUDIO  ;Barras de Sonido;Bose;792.16;512.58
234;AMD Tarjetas de Video FI-1830;Componentes;Tarjetas de Video;AMD;4949.8;3650.07
235;LG Profesional PD-1796;Monitores;Profesional;LG;1871.89;1263.35
236;Sony Audifonos NU-7578;;Audifonos;Sony;725.64;523.58
237;Samsung iPadOS SL-8497;  Tablets  ;iPadOS;Samsung;1996.17;1529.09
238;Huawei iPadOS DU-9799;tablets;iPadOS;Huawei;3879.08;2300.78
239;Huawei Gama Baja HH-2217;celulares;Gama Baja;Huawei;2996.61;2245.52
240;D-Link Repetidores AW-4865;REDES;Repetidores;D-Link;206.55;125.82
241;Redragon Combos IQ-8189;  PERIFERICOS  ;Combos;Redragon;264.33;173.29
242;AMD Tarjetas de Video FN-1061;Componentes;Tarjetas de Video;AMD;3052.38;1870.39
243;HP Mini PC AM-5631;Computadoras;Mini PC;HP;3113.1;1776.04
244;Redragon Teclados XW-1297;perifericos;Teclados;Redragon;678.1;393.12
245;Dell Gaming AM-7261;LAPTOPS;Gaming;Dell;2021.42;1540.25
246;HP Empresarial FJ-4963;LAPTOPS;Empresarial;HP;7892.5;5047.91
247;Samsung Android NH-8119;TABLETS;Android;Samsung;911.55;634.81
248;Razer Combos ZH-9990;;Combos;Razer;415.29;260.7
249;Lenovo iPadOS PA-2013;Tablets;iPadOS;Lenovo;1689.71;1109.36
250;Huawei iPadOS WM-7167;Tablets;iPadOS;Huawei;2896.76;1807.42
251;Apple iPadOS ZS-2163;  Tablets  ;iPadOS;Apple;2080.56;1146.37
252;Corsair Memorias RAM EE-3613;Componentes;Memorias RAM;Corsair;1427.94;805.41
253;Anker Cables LC-9854;accesorios;Cables;Anker;139.13;91.34
254;Brother Multifuncionales PE-0490;Impresion;Multifuncionales;Brother;583.61;445.05
255;Apple Gama Baja XH-2954;Celulares;Gama Baja;Apple;3698.61;2668.25
256;Xtech Cables SA-5835;  ACCESORIOS  ;Cables;Xtech;248.94;165.12
257;HyperX Teclados WH-3998;perifericos;Teclados;HyperX;193.58;139.82
258;Xiaomi Gama Alta MO-2743;Celulares;Gama Alta;Xiaomi;3520.59;2506.31
259;Targus Cables GC-2255;accesorios;Cables;Targus;188.32;140.08
260;HP Mini PC UJ-4192;Computadoras;Mini PC;HP;1949.74;1328.16
261;Razer Mouse LG-1476;PERIFERICOS;Mouse;Razer;520.58;383.36
262;Motorola Gama Alta HS-2360;Celulares;Gama Alta;Motorola;3886.6;2320.44
263;Apple Gama Baja MQ-8639;CELULARES;Gama Baja;Apple;776.93;572.4
264;Intel Tarjetas de Video UX-5413;Componentes;Tarjetas de Video;Intel;1343.29;925.61
265;Huawei iPadOS GU-8453;Tablets;iPadOS;Huawei;3446.51;2350.65
266;Acer Convertible PA-6309;  LAPTOPS  ;Convertible;Acer;7903.12;4493.51
267;Razer Controles QV-7968;Gaming;Controles;Razer;1396.18;854.92
268;Microsoft Consolas BS-5909;GAMING;Consolas;Microsoft;508.81;389.02
269;Motorola Gama Media DI-4598;CELULARES;Gama Media;Motorola;2424.14;1716.68
270;Acer Ultrabook ML-4089;laptops;Ultrabook;Acer;4572.87;3537.4
271;Razer Controles VP-1773;Gaming;Controles;Razer;1255.52;897.83
272;Targus Fundas EE-1668;accesorios;Fundas;Targus;87.31;59.63
273;Motorola Gama Media MB-3397;Celulares;Gama Media;Motorola;5183.66;3785.43
274;Western Digital Memorias microSD HE-7072;Almacenamiento;Memorias microSD;Western Digital;1133.89;689.49
275;Dell Empresarial TI-3402;  LAPTOPS  ;Empresarial;Dell;3390.87;2203.34
276;Logitech Parlantes SN-2241;Audio;Parlantes;Logitech;1206.67;769.19
277;Intel Memorias RAM RP-8306;Componentes;Memorias RAM;Intel;3970.24;2407.28
278;Xiaomi Gama Media TA-2365;Celulares;Gama Media;Xiaomi;3699.7;2438.15
279;Anker Mochilas SR-1814;  Accesorios  ;Mochilas;Anker;152.46;112.8
280;Razer Combos JQ-2484;Perifericos;Combos;Razer;81.48;46.53
281;Huawei Gama Baja ZW-0243;celulares;Gama Baja;Huawei;1201.65;759.85
282;Redragon Teclados CA-5094;Perifericos;Teclados;Redragon;497.8;346.94
283;HP Ultrabook BQ-5118;laptops;Ultrabook;HP;5401.47;3524.12
284;Anker Mochilas AN-1564;  ACCESORIOS  ;Mochilas;Anker;366.11;271.67
285;Microsoft Controles FW-9414;Gaming;Controles;Microsoft;477.62;272.8
286;Canon Impresoras Laser TE-3989;impresion;Impresoras Laser;Canon;1182.14;783.57
287;Canon Toners TO-3705;;Toners;Canon;1629.29;969.19
288;Motorola Gama Alta RO-2451;Celulares;Gama Alta;Motorola;435.71;317.05
289;NVIDIA Placas Madre YE-9082;  Componentes  ;Placas Madre;NVIDIA;4759.83;3467.55
290;Lenovo Empresarial YU-1035;LAPTOPS;Empresarial;Lenovo;2550.02;1722.36
291;Targus Mochilas LL-9429;Accesorios;Mochilas;Targus;110.19;83.35
292;Motorola Gama Alta YT-0237;celulares;Gama Alta;Motorola;1911.42;1482.02
293;Apple Ultrabook ML-6696;laptops;Ultrabook;Apple;5794.82;3249.69
294;Seagate Discos SSD OI-2953;Almacenamiento;Discos SSD;Seagate;1002.11;774.97
295;Samsung Gama Alta FE-6194;celulares;Gama Alta;Samsung;1097.19;741.57
296;Samsung Gama Baja NY-8390;celulares;Gama Baja;Samsung;3795.27;2574.85
297;Dell Desktop PO-3424;Computadoras;Desktop;Dell;4748.5;3565.87
298;Belkin Protectores de Pantalla BR-2406;  accesorios  ;Protectores de Pantalla;Belkin;167.28;106.13
299;Apple Gama Baja AM-2834;celulares;Gama Baja;Apple;1412.84;890.46
300;Google Camaras de Seguridad MO-3488;hogar inteligente;Camaras de Seguridad;Google;165.17;101.55
301;Apple Empresarial XG-3437;laptops;Empresarial;Apple;3278.6;1878.97
302;Kingston Procesadores QU-8669;Componentes;Procesadores;Kingston;2304.11;1367.52
303;Asus Desktop ZS-0865;Computadoras;Desktop;Asus;4205.32;2719.92
304;Lenovo Convertible LY-2438;Laptops;Convertible;Lenovo;7481.25;4872.08
305;Logitech Mouse VB-9285;Perifericos;Mouse;Logitech;712.91;463.78
306;Seagate Discos HDD BK-7435;Almacenamiento;Discos HDD;Seagate;1101.11;653.53
307;Belkin Fundas ZN-5288;  accesorios  ;Fundas;Belkin;61.14;37.83
308;SanDisk Pendrives OA-5947;Almacenamiento;Pendrives;SanDisk;1084.79;782.17
309;Apple Empresarial BS-3969;;Empresarial;Apple;4899.45;3396.1
310;Samsung Gama Alta GE-5359;CELULARES;Gama Alta;Samsung;5951.26;3772.55
311;Apple Gama Baja DH-6504;Celulares;Gama Baja;Apple;1016.76;655.43
312;Nintendo Consolas CW-8830;Gaming;Consolas;Nintendo;809.54;600.99
313;HP Mini PC IJ-9954;Computadoras;Mini PC;HP;3314.25;2404.8
314;HP Mini PC SV-8734;Computadoras;Mini PC;HP;4069.64;3051.16
315;Redragon Webcams BB-9668;PERIFERICOS;Webcams;Redragon;428.71;325.64
316;Amazon Focos Inteligentes LQ-7989;Hogar Inteligente;Focos Inteligentes;Amazon;266.7;192.78
317;HP Convertible DS-7061;LAPTOPS;Convertible;HP;1778.47;1103.02
318;Xiaomi Enchufes Inteligentes FQ-0690;  Hogar Inteligente  ;Enchufes Inteligentes;Xiaomi;689.5;425.47
319;Asus Desktop BW-9711;Computadoras;Desktop;Asus;5616.88;3598.13
320;Motorola Gama Media GV-3847;Celulares;Gama Media;Motorola;5204.6;3648.95
321;Dell Mini PC BU-6756;  Computadoras  ;Mini PC;Dell;3223.25;2520.77
322;Anker Mochilas IU-5051;Accesorios;Mochilas;Anker;41.99;25.91
323;Lenovo Mini PC YF-8601;COMPUTADORAS;Mini PC;Lenovo;3762.3;2774.68
